"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","4u7","","","","Capacitor_SMD:C_0805_2012Metric","kicad-embed://C1779.pdf"
"C2,C3,C4,C5,C8","5","100nF","","","","Capacitor_SMD:C_0603_1608Metric","kicad-embed://C14663.pdf"
"C6,C7","2","1u","","","","Capacitor_SMD:C_0603_1608Metric","kicad-embed://C15849.pdf"
"D1","1","BLUE_LED","","","","LED_SMD:LED_1206_3216Metric",""
"D2","1","RED_LED","","","","LED_SMD:LED_1206_3216Metric",""
"J1","1","USB_C_Receptacle_USB2.0_16P","","","","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J2","1","SWD 5P","","","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","https://jlcpcb.com/partdetail/125654-B_2100S05PA110/C124379"
"J3","1","SPI1","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","https://jlcpcb.com/partdetail/XFCN-PZ254V_1104P/C2691448"
"J4","1","WE I2S2","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","https://jlcpcb.com/partdetail/XFCN-PZ254V_1103P/C2937625"
"J5","1","WY I2S3","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","https://jlcpcb.com/partdetail/XFCN-PZ254V_1103P/C2937625"
"J6","1","GPIO","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","https://jlcpcb.com/partdetail/XFCN-PZ254V_1102P/C492401"
"R1,R2,R3,R4,R5,R6","6","5K1","","","","Resistor_SMD:R_0805_2012Metric","kicad-embed://C27834.pdf"
"R7","1","330","","","","Resistor_SMD:R_0805_2012Metric","kicad-embed://C17630.pdf"
"SW1,SW2","2","B3F-1002","","","","Button_Switch_THT:SW_TH_Tactile_Omron_B3F-100x","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3fs.pdf"
"U1","1","STM32F412CEUx","","","","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm","https://www.st.com/resource/en/datasheet/stm32f412ce.pdf"
"U2","1","AP2112K-3.3TRG1","","","","Package_TO_SOT_SMD:SOT-23-5","https://www.tme.eu/pl/details/ap2112k-3.3trg1/stabilizatory-napiecia-nieregulowane-ldo/diodes-incorporated/"
